 ,Mean
1,112.480
2,227.980
3,175.658
4,115.897
5,183.641
6,155.411
7,205.669
8,183.510
9,145.722
10,109.295
11,196.080
12,168.201
13,114.082
14,199.964
15,153.418
16,112.718
17,143.492
18,162.931
19,116.131
20,213.683
21,202.643
22,110.738
23,130.693
24,164.052
25,228.142
26,221.446
27,162.175
28,116.173
29,184.560
30,169.639
31,108.586
32,138.682
33,131.058
34,104.250
35,137.253
36,127.553
37,113.851
38,149.007
39,138.770
40,106.561
41,147.042
42,144.388
43,106.560
44,137.500
45,130.360
46,109.064
47,135.269
48,135.347
49,106.597
50,146.499
51,129.869
52,105.501
53,133.899
54,125.582
55,108.089
56,160.728
57,132.212
58,111.477
59,136.846
60,162.812
61,535.745
62,315.242
63,121.578
64,117.701
65,169.526
66,171.551
67,109.341
68,138.537
69,140.423
70,121.149
71,211.134
72,204.375
73,125.773
74,155.066
75,200.452
76,121.062
77,193.278
78,241.377
79,110.487
80,131.427
81,164.755
82,226.406
83,212.431
84,155.226
85,114.262
86,134.202
87,154.613
88,110.394
89,155.154
90,161.744
91,112.076
92,197.253
93,145.895
94,114.393
95,188.560
96,160.504
97,108.599
98,139.121
99,147.659
100,115.415
101,149.822
102,165.820
103,113.213
104,149.783
105,140.766
106,119.859
107,212.385
108,176.582
109,184.814
110,195.730
111,183.908
112,107.930
113,146.542
114,153.161
115,110.603
116,163.634
117,179.308
118,217.589
119,216.094
120,158.970
121,110.435
122,138.281
123,441.671
124,196.031
125,192.908
126,181.931
127,108.865
128,165.896
129,167.875
130,123.399
131,248.704
132,252.312
133,134.860
134,164.397
135,167.093
136,107.847
137,129.548
138,160.676
139,118.796
140,199.553
141,188.970
142,115.338
143,162.171
144,202.028
145,107.469
146,144.587
147,144.523
148,110.167
149,134.501
150,177.935
151,131.408
152,164.765
153,168.205
154,117.776
155,206.379
156,199.095
157,109.821
158,146.356
159,168.673
160,107.066
161,142.070
162,144.610
163,110.438
164,170.550
165,162.684
166,119.297
167,148.727
168,159.096
169,120.874
170,156.818
171,148.353
